pressure,volume,temp 42
 7.5, 4.0,
 8.0, 3.8,
 8.5, 3.6,
 9.0, 3.4,
 9.5, 3.2,
 10.0, 3.0,
 11.0, 2.8,
 12.0, 2.6,
 13.0, 2.4,
 14.0, 2.2,
 15.0, 2.0,
 16.5, 1.8,
 18.5, 1.6,
 21.0, 1.4,
 23.0, 1.2,
 27.0, 1.0,
 31.0, 0.8,
 35.0, 0.6,
37.5, 0.4,
 43.0, 0.3,
