Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.035454315,0.158834218978882,0.00640863180160523,0.00862407684326172,0.159197218510872
0.045454315,0.472959518432617,0.0027773529291153,0.102375984191895,0.483920718614697
0.055429315,0.906606435775757,-0.00254061818122864,0.250972747802734,0.940706651550003
0.065432815,1.42307066917419,-0.00954246520996094,0.458383560180664,1.49510423594814
0.075432815,1.98543834686279,-0.0180295705795288,0.724504470825195,2.11357451320133
0.085432815,2.56203079223633,-0.0279969871044159,1.04502868652344,2.76710508786908
0.095432815,3.12825345993042,-0.039125844836235,1.41230297088623,3.43250640536545
0.105432815,3.66671180725098,-0.0509881377220154,1.81672334671021,4.09241481109919
0.115432815,4.16622304916382,-0.0634974837303162,2.2479739189148,4.73443060630791
0.125432815,4.62034273147583,-0.0762140601873398,2.69577264785767,5.34981922201202
0.135432815,5.02664041519165,-0.0890486985445023,3.15090799331665,5.93323391724086
0.145433415,5.38509035110474,-0.101810276508331,3.60510969161987,6.48123285421652
0.155433415,5.697669506073,-0.114172324538231,4.05158281326294,6.99226690085928
0.165433415,5.96758127212524,-0.126005083322525,4.48503541946411,7.4661533760224
0.175433568,6.19856405258179,-0.137291043996811,4.90127801895142,7.9033898653538
0.185433568,6.39465951919556,-0.147925540804863,5.29730463027954,8.30511822179804
0.195433568,6.56002759933472,-0.157964110374451,5.67123889923096,8.67305398440192
0.205433568,6.69867277145386,-0.167248368263245,6.02217864990234,9.00926326660752
0.215433568,6.81430673599243,-0.175929397344589,6.34981536865234,9.31589408811711
0.225432845,6.91025972366333,-0.184021517634392,6.65429735183716,9.59506261647641
0.235432845,6.98949289321899,-0.191451668739319,6.93617057800293,9.84886424583949
0.245432845,7.05462312698364,-0.198244690895081,7.19613456726074,10.0792539967681
0.255433178,7.10786485671997,-0.204506680369377,7.43505620956421,10.288033176613
0.265433178,7.15123414993286,-0.210204884409904,7.65425872802734,10.4772139730073
0.275433178,7.18637609481812,-0.21550065279007,7.85468673706055,10.6483118683142
0.285433178,7.2147650718689,-0.220253691077232,8.03786087036133,10.8031733348113
0.295434898,7.23759984970093,-0.22455957531929,8.20505046844482,10.9433144785748
0.305434398,7.25585222244263,-0.228485807776451,8.357421875,11.07005409359
0.31543462,7.2703595161438,-0.231990605592728,8.49599933624268,11.184540753044
0.325434977,7.28181505203247,-0.235306590795517,8.62179374694824,11.287848646159
0.335434977,7.29079103469849,-0.238234460353851,8.73598289489746,11.381115354379
0.345435143,7.29777383804321,-0.240904569625855,8.83952903747559,11.4652872448652
0.355435976,7.30316019058228,-0.243365690112114,8.93346309661865,11.5413230839049
0.365435742,7.30724859237671,-0.245482832193375,9.01871395111084,11.6100536236339
0.375435742,7.31033182144165,-0.247455596923828,9.09592056274414,11.6721016314879
0.385435742,7.312584400177,-0.249237507581711,9.16577911376953,11.7280653437518
0.395435742,7.3141942024231,-0.251008331775665,9.22881507873535,11.7784323987054
0.405435742,7.31530141830444,-0.252349495887756,9.2857666015625,11.8238224144062
0.415435742,0.0564842224121094,-0.0238096229732037,-0.481746584177017,0.485630658931096
0.425435808,0.0616970062255859,-0.0124020930379629,-0.437438666820526,0.441942213098773
0.435435808,0.0618715286254883,-0.0079939216375351,-0.37845104932785,0.383558581672934
0.445434674,0.0762538909912109,0.00390723720192909,-0.354683786630631,0.362809193506028
0.455434674,0.052189826965332,0.00359101034700871,-0.310597985982895,0.314972669116884
0.465434674,0.0519809722900391,-0.0109963184222579,-0.262702822685242,0.26802185273939
0.47543434,0.0636825561523438,-0.0108981179073453,-0.244462266564369,0.252855762650978
0.48543434,0.0753278732299805,-0.0154433604329824,-0.23625673353672,0.248455287744608
0.49543474,0.0678215026855469,-0.00536415725946426,-0.203949049115181,0.214997081479299
0.50543474,0.0794382095336914,-0.00735240802168846,-0.183374464511871,0.199976701824617
0.51543474,0.0647153854370117,-0.0117120649665594,-0.174448803067207,0.186434005668556
0.525435173,0.064366340637207,-0.00423427671194077,-0.152888715267181,0.165939489460308
0.535435239,0.0736064910888672,-0.00615092366933823,-0.133041277527809,0.15217007234878
0.545434805,0.0660877227783203,0.00388356484472752,-0.126633748412132,0.142894280553263
0.555434571,0.0729598999023438,-0.000570785254240036,-0.123887658119202,0.143776300633403
0.565434771,0.0630989074707031,-0.00506137497723103,-0.114915251731873,0.131196816734462
0.575434771,0.0484333038330078,0.00954845733940601,-0.104528874158859,0.115599496065777
0.585434771,0.0649404525756836,-0.00707183871418238,-0.0783785581588745,0.102031718904457
0.595433337,0.0431289672851563,0.00497165136039257,-0.0748398303985596,0.0865206642971408
0.60543377,0.0620641708374023,-0.0141489375382662,-0.0553723573684692,0.0843697321065884
0.615433803,0.0642557144165039,-0.00431494042277336,-0.0582107901573181,0.0868096287099923
0.625433469,0.0544824600219727,0.0151502210646868,-0.0569026172161102,0.080223285238127
0.635433469,0.0519123077392578,0.00547346286475658,-0.0586351454257965,0.078504310516376
0.645433502,0.0684995651245117,-0.00427080877125263,-0.0463408827781677,0.0828124848465961
0.655433502,0.0755338668823242,0.000496258959174156,-0.0370376408100128,0.0841272735557427
0.665433502,0.0610284805297852,0.00293079204857349,-0.0257663130760193,0.0663096363082908
0.675433702,0.053736686706543,-0.00203442759811878,-0.0223649740219116,0.0582405568040856
0.685433702,0.0536355972290039,-0.0116664730012417,-0.014525979757309,0.0567792917383652
0.695433702,0.0535287857055664,-0.00424128957092762,-0.0238677859306335,0.0587621531393078
