pressure,volume,temp 45
 7.5, 4.0,
 8.0, 3.8,
 8.5, 3.6,
 9.0, 3.4,
 9.5, 3.2,
 10.5, 3.0,
 11.0, 2.8,
 12.0, 2.6,
 13.0, 2.4,
 14.0, 2.2,
 15.0, 2.0,
 17.0, 1.8,
 19.0, 1.6,
 21.0, 1.4,
 24.0, 1.2,
 27.5, 1.0,
 31.5, 0.8,
 36.5, 0.6,
 39.0, 0.4,
 44.0, 0.3,
