Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.039339507,0.00961297750473023,-0.174809709191322,-0.03271484375,0.178104196372932
0.049345507,0.00996202230453491,-0.543821513652802,-0.0137319564819336,0.544086066012393
0.059339507,0.00924882292747498,-1.0757691860199,0.0382633209228516,1.07648918435974
0.069336507,0.00656980276107788,-1.73021519184113,0.142823219299316,1.73611239392994
0.079334507,0.00134855508804321,-2.45947432518005,0.313858032226563,2.47941981907337
0.089333007,-0.00672405958175659,-3.21903085708618,0.556476593017578,3.26678298489917
0.099331807,-0.0173957943916321,-3.97327971458435,0.867765426635742,4.06697321599913
0.109330807,-0.0304009914398193,-4.69623327255249,1.23905372619629,4.85703462072389
0.119329949,-0.0454655885696411,-5.37086200714111,1.65862083435059,5.6213209205344
0.129329199,-0.0619575679302216,-5.98684597015381,2.11337375640869,6.34921349813091
0.139328532,-0.0795227289199829,-6.53955364227295,2.59058570861816,7.03443103728205
0.149327932,-0.0976452529430389,-7.02825975418091,3.07860946655273,7.67357843611502
0.159327386,-0.11592823266983,-7.45501232147217,3.56737470626831,8.26539837898662
0.169326886,-0.134002223610878,-7.82363986968994,4.04854869842529,8.81011032678115
0.179326424,-0.151508659124374,-8.13924694061279,4.51582002639771,9.30929246209823
0.189326424,-0.168443724513054,-8.40720748901367,4.96428203582764,9.76491716211133
0.199326024,-0.184685543179512,-8.63314533233643,5.39062404632568,10.1795940335519
0.209325649,-0.200024858117104,-8.82245445251465,5.79275512695313,10.5561226059288
0.219325296,-0.214440330862999,-8.98014831542969,6.16942930221558,10.8972889443958
0.229324962,-0.227789357304573,-9.11084175109863,6.52035999298096,11.2059992790884
0.239324646,-0.240232065320015,-9.21861362457275,6.84570980072022,11.4849593503871
0.249324346,-0.25173020362854,-9.30709171295166,7.1461672782898,11.7368237193038
0.259323488,-0.262396842241287,-9.37942218780518,7.42268848419189,11.9640593868998
0.269323215,-0.272095531225204,-9.43828773498535,7.67647743225098,12.1689612175545
0.279322954,-0.28093409538269,-9.48600292205811,7.90884017944336,12.3536605258207
0.289322704,-0.289231061935425,-9.52449035644531,8.12105941772461,12.5200310392356
0.299322744,-0.296678185462952,-9.55537223815918,8.31448650360107,12.6698004078232
0.309322513,-0.303540468215942,-9.58007907867432,8.49068260192871,12.8047547034761
0.31932229,-0.309654265642166,-9.59971714019775,8.65095138549805,12.9263070832426
0.329322075,-0.315344899892807,-9.61525917053223,8.79660797119141,13.0358338099724
