pressure,volume,temp 50
 8.0, 4.0,
 8.0, 3.8,
 8.5, 3.6,
 9.0, 3.4,
 10.0, 3.2,
 10.5, 3.0,
 11.0, 2.8,
 12.0, 2.6,
 13.0, 2.4,
 14.0, 2.2,
 15.5, 2.0,
 17.0, 1.8,
 19.5, 1.6,
 22.0 , 1.4,
 24.5, 1.2,
 28.5, 1.0,
 33.0, 0.8,
 38.0, 0.6,
 43.0, 0.4,
