1,2,angle
0.82,,0
0.812,,5
0.816,,10
0.808,,15
0.767,0.278,20
0.624,0.396,25
0.233,0.412,30
0.029,0.531,35
0.024,0.69,40
,0.69,45
,0.624,60
,0.535,70
