pressure,volume,temp 39
 7.5, 4.0,
 8.0, 3.8,
 8.5, 3.6,
 9.0, 3.4,
 9.5, 3.2,
 10.0, 3.0,
 11.0, 2.8,
 11.5, 2.6,
 12.5, 2.4,
 13.5, 2.2,
 15.0, 2.0,
 16.0, 1.8,
 18.0, 1.6,
 20.5, 1.4,
 23.0, 1.2,
 26.0, 1.0,
 30.0, 0.8,
 32.0, 0.7,
 32.5, 0.65,
 33.0, 0.6,
 33.0, 0.55,
 33.5, 0.5,
 34.0, 0.4,
 39.5, 0.3,
 48.0, 0.25,
